index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
1047513,2020-02-17 10:25:40.854,9084155980439359488,,51.174.133.75,NO,Vestfold og Telemark,Skien,29695,"Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457",Android 2.3.3.2672,iOS 7.1,mobile,True,False,False
1037215,2020-02-17 08:10:34.865,-4324475583306590208,,38.135.39.94,US,-,-,393398,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.2917.138 Mobile Safari/537.36 variation/90236",Chrome Mobile 81.0.4044.2917,Android 5.5.1,mobile,False,True,False
1022811,2020-02-17 01:14:05.320,-4324475583306590208,,10.0.10.21,US,Illinois,Chicago,54903,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1618 variation/193372,Firefox 20.0.0.1618,iOS 11.2.6,mobile,False,True,False
985301,2020-02-16 13:39:28.501,5794113125642819584,,37.97.47.54,NO,-,-,29695,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/964",Chrome 73.0.3654,Chrome OS 5978.98.0,desktop,True,False,False
977678,2020-02-16 11:54:48.644,4828530737408480256,,38.135.39.32,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 PHX/5.4 variation/97198",Chrome Mobile 81.0.4044,Android 6.0.99,mobile,True,True,False
955290,2020-02-16 04:58:28.145,930381973644256000,,209236125167,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36Snapchat11.0.1.72 (SM-A805F; Android 10#A805FXXU4BTF7#29; gzip",Chrome Mobile WebView 85.0.4183,Android 4.1,mobile,False,True,False
953380,2020-02-16 03:56:04.260,2713003058029649920,,38.135.39.240,US,-,-,393398,"Mozilla/5.0  (Linux; Android 10.0.99) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/88.0.4324.181 Mobile Safari/537.36 [TNMOBILE/Android 3.0.0]",Chrome Mobile WebView 88.0.4324,Android 10.0.99,mobile,True,True,False
939814,2020-02-15 19:34:33.926,-7193554430397419520,,38.135.39.245,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/48.0.2564.106 Mobile Safari/537.36 PHX/5.4 variation/147954",Chrome Mobile 48.0.2564,iOS 11.2.6,mobile,True,True,False
913233,2020-02-15 13:12:43.527,-4324475583306590208,,10.0.11.230,NO,Oslo County,Oslo,500021,"Mozilla/5.0  (Linux; U; Android 2.2) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1934.91 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1934,Android 2.2,mobile,False,True,False
912198,2020-02-15 12:57:22.939,-9058612698453130240,,185.19.118.32,PL,┼ü├│d┼║ Voivodeship,Reczno,49528,"Mozilla/5.0 (Linux; Android 10.0.99; H30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.96 Mobile Safari/537.36 variation/10517",Chrome Mobile 81.0.4044,Android 10.0.99,mobile,True,False,False
910396,2020-02-15 12:29:39.965,-8343719474777979904,,176.124.63.200,NO,Troms og Finnmark,Hammerfest,200665,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,True,False,False
892917,2020-02-15 08:02:42.478,2055035701613100032,,89.238.65.86,DE,-,-,34240,"Mozilla/5.0  (Linux; Android 10.0.99) plus Build/PTBS29.401-25-5; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36",Chrome Mobile WebView 85.0.4183,Android 10.0.99,mobile,True,False,False
882422,2020-02-15 02:55:53.802,-4324475583306590208,,38.135.39.246,US,-,-,393398,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20100101 Firefox/20.0.0.1722,Firefox 20.0.0.1722,iOS 11.2.6,mobile,False,True,False
875433,2020-02-14 21:26:16.485,-1528406496785580032,,103.41.190.143,ID,-,-,58397,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,True,False,False
869577,2020-02-14 19:27:58.202,-8130221780005990400,,170.39.76.236,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko Chrome/71.0.3578.2896.2901.89 Mobile Safari/604.1",Chrome Mobile 71.0.3578.2896.2901,iOS 9.3.4,mobile,True,False,False
