index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
959597,2020-02-16 07:01:07.918,-4200480095196060160,,80.203.171.22,NO,-,-,15659,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.117 Mobile Safari/537.36 PHX/6.0",Chrome Mobile 81.0.4044,iOS 13.4,mobile,True,False,False
905492,2020-02-15 11:17:10.057,-3587234216852029952,,1.4.213.34,US,-,-,393398,"Mozilla/5.0 (Linux; Android 10.0.99; H30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1924.96 Mobile Safari/537.36 variation/11496",Chrome Mobile 81.0.4044.1924,Android 10.0.99,mobile,False,True,False
886614,2020-02-15 05:31:20.663,-6392570594570949632,,185.19.116.241,PL,┼ü├│d┼║ Voivodeship,Radomsko,49528,"Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1955.138 Mobile Safari/537.36 PHX/5.2",Chrome Mobile 81.0.4044.1955,iOS 14.2.1,mobile,True,False,False
855774,2020-02-14 16:08:58.207,8709010387344050176,,49.50.241.34,NZ,Auckland,Auckland,24466,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.123 Mobile Safari/537.36 variation/152420",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,True,False,False
848684,2020-02-14 14:40:00.170,893811273145021056,,158149147203,NO,-,-,29492,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,False,False
836775,2020-02-14 12:05:40.585,-465771867631963008,,176.100.9.17,UA,Kyiv City,Kyiv,57422,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/78.0.3904.108 Mobile Safari/537.36 OPR/56.1.2780.51589 variation/199724",Opera Mobile 56.1.2780,iOS 11.2.6,mobile,True,False,False
656014,2020-02-12 05:35:25.301,-7753648619465360384,,139.164.5.195,NO,-,-,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,False,False
645076,2020-02-11 21:59:35.020,8129358102429710336,,199.26.84.157,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Plus Build/NMA26.42-162; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/87.0.4280.66 Mobile Safari/537.36",Chrome Mobile WebView 87.0.4280,iOS 11.2.6,mobile,True,False,False
630836,2020-02-11 18:14:25.634,-8971418532210539520,,84.208.245.43,NO,Rogaland,Royneberg,41164,"Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457",Android 2.3.3.2672,iOS 7.1,mobile,True,False,False
602053,2020-02-11 12:42:16.824,-3638543513842209792,,1.31.80.222,US,-,-,393398,Mozilla/5.0  (Linux; Android 5.5.1; CHM-U01) Gecko/20100101 Firefox/20.0.0.1605,Firefox 20.0.0.1605,Android 5.5.1,mobile,True,True,False
598148,2020-02-11 11:56:51.375,-5196116670050280448,,92220110209,NO,Rogaland,Sandnes,29695,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1618,Firefox 20.0.0.1618,iOS 11.2.6,mobile,True,False,False
587011,2020-02-11 09:43:13.505,-2088192927807239936,,109.203.29.88,NO,Innlandet,Hamar,29492,"Mozilla/5.0  (X11; CrOS aarch64 13099.30.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.19.128 Safari/537.36 (Ecosia android@69.0.3497.17.19.128",Chrome 69.0.3497.17.19,Chrome OS 13099.30.0,desktop,True,False,False
573645,2020-02-11 06:33:40.457,-7985941704215510016,,185.41.242.129,NO,-,-,50304,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,False,False
553410,2020-02-10 20:21:51.493,-277776020086110016,,84.208.16.238,NO,Oslo County,Oslo,41164,"Mozilla/5.0  (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/8335",Chrome 73.0.3654,Mac OS X 10.14.6,desktop,True,False,False
423755,2020-02-09 09:53:13.736,-2850908389972469760,,80.203.212.78,NO,Viken,Hokksund,15659,"Mozilla/5.0  (X11; CrOS x86_64 13505.73.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.56.121 Safari/537.36",Chrome 72.0.3626.56,Chrome OS 13505.73.0,desktop,True,False,False
405892,2020-02-08 23:08:32.053,-4618515053515580416,,80.203.96.166,NO,Viken,Fetsund,15659,"Mozilla/5.0  (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36",Chrome 90.0.4411,Mac OS X 10.14.6,desktop,True,False,False
361178,2020-02-08 09:53:58.888,-3191084333961600000,,1.31.87.230,AR,Santa Fe,Arteaga,197175,"Mozilla/5.0  (Linux; Android 5.5.1; CHM-U01) plus Build/OPWS27.113-25-4; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/80.0.3987.132 Mobile Safari/537.36",Chrome Mobile WebView 80.0.3987,Android 5.5.1,mobile,True,True,False
289474,2020-02-07 08:48:04.113,-858274644839425024,,109238223215,CZ,Central Bohemia,Neratovice,48574,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) play Build/PPYS29.105-134-2; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36",Chrome Mobile WebView 85.0.4183,iOS 13.4,mobile,True,False,False
284876,2020-02-07 07:32:43.599,2181975310345550080,,158.149.44.192,NO,-,-,29492,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,False,False
225209,2020-02-06 11:36:58.594,5183569485957890048,,134.90.144.117,NO,-,-,50304,"Mozilla/5.0  (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/1532",Chrome 73.0.3654,Chromecast 1.52.251747,desktop,True,False,False
217212,2020-02-06 09:46:10.019,-4324475583306590208,,1.53.185.126,US,-,-,393398,Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1689 (Chrome variation/272353,Firefox 20.0.0.1689,iOS 14.2.1,mobile,False,True,False
